restaurant_id,name,link,city,area,cuisine,rating,votes,has_online_delivery,has_table_booking,price
681483,LeanCrust Pizza- ThinCrust Experts,https://www.swiggy.com/dapi/menu/pl?restaurantId=681483,mumbai,Malad West,"Pizzas, Italian, Desserts",4.5,367,1,0,₹300 for two
251620,Green Cravings,https://www.swiggy.com/dapi/menu/pl?restaurantId=251620,mumbai,CHINCHOLI BUNDER,"Healthy Food, Grill",3.5,1.7K+,1,0,₹250 for two
32904,The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=32904,mumbai,Malad West,"Waffle, Desserts, Ice Cream, Beverages",4.2,12K+,1,0,₹200 for two
95091,GetAWay-Ice Creams & Desserts,https://www.swiggy.com/dapi/menu/pl?restaurantId=95091,mumbai,PRATIK PLAZA,"Ice Cream, Desserts, Healthy Food",4.5,776,1,0,₹200 for two
332613,Charcoal Eats - Biryani & Beyond,https://www.swiggy.com/dapi/menu/pl?restaurantId=332613,mumbai,Malad West,"Biryani, Kebabs, North Indian, Mughlai",4.3,5.3K+,1,0,₹499 for two
576011,Go Zero Ice Creams & Desserts,https://www.swiggy.com/dapi/menu/pl?restaurantId=576011,mumbai,Malad,"Ice Cream, Desserts, Healthy Food",4.7,557,1,0,₹150 for two
611611,Madno - House of Sundaes and Waffles,https://www.swiggy.com/dapi/menu/pl?restaurantId=611611,mumbai,Malad,"Ice Cream, Desserts, Waffle",4.2,217,1,0,₹250 for two
63217,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=63217,mumbai,Malad West,Pizzas,4.2,12K+,1,0,₹300 for two
24632,Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=24632,mumbai,Malad West,"Burgers, American",4.1,19K+,1,0,₹350 for two
23729,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23729,mumbai,Malad West,"Burgers, Beverages, Cafe, Desserts",4.4,33K+,1,0,₹400 for two
24477,Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=24477,mumbai,Malad Kan West,"Pizzas, Italian, Pastas, Desserts",4.3,11K+,1,0,₹400 for two
586792,Cremure,https://www.swiggy.com/dapi/menu/pl?restaurantId=586792,mumbai,Malad West,"Bakery, Desserts, Waffle, Beverages",4.6,13K+,1,0,₹200 for two
